,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Date
63,Pro,44940,22654,347828,115773,610517,519119,847963,552419,222999,295948,470865,159522,2021-11-24
64,Client,155380,155659,1497231,156203,932956,839416,1015364,1164056,439763,155225,278646,255406,2021-11-25
65,DII,14779,86849,45313,1615170,401,45591,0,0,0,0,671,0,2021-11-25
66,FII,119675,52199,868300,845435,271450,443943,147840,183617,25225,28095,39138,21440,2021-11-25
67,Pro,24683,19810,272914,66950,285714,317624,327317,298901,73516,146396,220049,52870,2021-11-25
68,Client,190918,168038,1491136,168351,2112790,1001217,2005612,1406422,571436,172894,355875,307680,2021-11-26
69,DII,14779,86498,43428,1624963,401,45723,0,0,0,0,5509,0,2021-11-26
70,FII,98247,68148,906290,867598,357485,514588,286610,208970,34839,35838,55760,32806,2021-11-26
71,Pro,41084,22344,288782,68724,521049,412448,699503,358584,100574,207656,289705,75902,2021-11-26
72,Client,172951,169856,1497388,164836,2169747,1449304,2133458,1756665,621036,194406,406952,326613,2021-11-29
73,DII,17372,86629,44511,1647523,401,42623,0,0,0,0,7916,0,2021-11-29
74,FII,115225,60135,928735,873903,347147,503267,267302,252238,39039,40541,60572,35453,2021-11-29
75,Pro,31006,19934,283821,68193,661835,489416,778370,475708,113992,212543,298627,85424,2021-11-29
